associativity,block_size_kb,cache_size_kb,capacity_misses,compulsory_misses,conflict_misses,hit_rate,hits,load_accesses,miss_rate,misses,notes,replacement_policy,runtime_seconds,store_accesses,total_accesses,workload_name
4,64,2048,0,2,0,0.999,1998,1000,0.001,2,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 2/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=1 tag=0', 'A#1991 HIT set=1 tag=0', 'A#1992 HIT set=1 tag=0', 'A#1993 HIT set=1 tag=0', 'A#1994 HIT set=1 tag=0', 'A#1995 HIT set=1 tag=0', 'A#1996 HIT set=1 tag=0', 'A#1997 HIT set=1 tag=0', 'A#1998 HIT set=1 tag=0', 'A#1999 HIT set=1 tag=0']",LRU,0.0072650639999665145,1000,2000,sequential
8,64,2048,0,2,0,0.999,1998,1000,0.001,2,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 2/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=1 tag=0', 'A#1991 HIT set=1 tag=0', 'A#1992 HIT set=1 tag=0', 'A#1993 HIT set=1 tag=0', 'A#1994 HIT set=1 tag=0', 'A#1995 HIT set=1 tag=0', 'A#1996 HIT set=1 tag=0', 'A#1997 HIT set=1 tag=0', 'A#1998 HIT set=1 tag=0', 'A#1999 HIT set=1 tag=0']",LRU,0.006535506000091118,1000,2000,sequential
1,128,2048,0,1,0,0.9995,1999,1000,0.0005,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=0 tag=0', 'A#1991 HIT set=0 tag=0', 'A#1992 HIT set=0 tag=0', 'A#1993 HIT set=0 tag=0', 'A#1994 HIT set=0 tag=0', 'A#1995 HIT set=0 tag=0', 'A#1996 HIT set=0 tag=0', 'A#1997 HIT set=0 tag=0', 'A#1998 HIT set=0 tag=0', 'A#1999 HIT set=0 tag=0']",LRU,0.011046449000332359,1000,2000,sequential
2,128,2048,0,1,0,0.9995,1999,1000,0.0005,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=0 tag=0', 'A#1991 HIT set=0 tag=0', 'A#1992 HIT set=0 tag=0', 'A#1993 HIT set=0 tag=0', 'A#1994 HIT set=0 tag=0', 'A#1995 HIT set=0 tag=0', 'A#1996 HIT set=0 tag=0', 'A#1997 HIT set=0 tag=0', 'A#1998 HIT set=0 tag=0', 'A#1999 HIT set=0 tag=0']",LRU,0.007198373000392166,1000,2000,sequential
4,128,2048,0,1,0,0.9995,1999,1000,0.0005,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=0 tag=0', 'A#1991 HIT set=0 tag=0', 'A#1992 HIT set=0 tag=0', 'A#1993 HIT set=0 tag=0', 'A#1994 HIT set=0 tag=0', 'A#1995 HIT set=0 tag=0', 'A#1996 HIT set=0 tag=0', 'A#1997 HIT set=0 tag=0', 'A#1998 HIT set=0 tag=0', 'A#1999 HIT set=0 tag=0']",LRU,0.007514380999964487,1000,2000,sequential
8,128,2048,0,1,0,0.9995,1999,1000,0.0005,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=0 tag=0', 'A#1991 HIT set=0 tag=0', 'A#1992 HIT set=0 tag=0', 'A#1993 HIT set=0 tag=0', 'A#1994 HIT set=0 tag=0', 'A#1995 HIT set=0 tag=0', 'A#1996 HIT set=0 tag=0', 'A#1997 HIT set=0 tag=0', 'A#1998 HIT set=0 tag=0', 'A#1999 HIT set=0 tag=0']",LRU,0.006474333999904047,1000,2000,sequential
1,256,2048,0,1,0,0.9995,1999,1000,0.0005,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=0 tag=0', 'A#1991 HIT set=0 tag=0', 'A#1992 HIT set=0 tag=0', 'A#1993 HIT set=0 tag=0', 'A#1994 HIT set=0 tag=0', 'A#1995 HIT set=0 tag=0', 'A#1996 HIT set=0 tag=0', 'A#1997 HIT set=0 tag=0', 'A#1998 HIT set=0 tag=0', 'A#1999 HIT set=0 tag=0']",LRU,0.008703526999852329,1000,2000,sequential
2,256,2048,0,1,0,0.9995,1999,1000,0.0005,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=0 tag=0', 'A#1991 HIT set=0 tag=0', 'A#1992 HIT set=0 tag=0', 'A#1993 HIT set=0 tag=0', 'A#1994 HIT set=0 tag=0', 'A#1995 HIT set=0 tag=0', 'A#1996 HIT set=0 tag=0', 'A#1997 HIT set=0 tag=0', 'A#1998 HIT set=0 tag=0', 'A#1999 HIT set=0 tag=0']",LRU,0.008717024999896239,1000,2000,sequential
4,256,2048,0,1,0,0.9995,1999,1000,0.0005,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=0 tag=0', 'A#1991 HIT set=0 tag=0', 'A#1992 HIT set=0 tag=0', 'A#1993 HIT set=0 tag=0', 'A#1994 HIT set=0 tag=0', 'A#1995 HIT set=0 tag=0', 'A#1996 HIT set=0 tag=0', 'A#1997 HIT set=0 tag=0', 'A#1998 HIT set=0 tag=0', 'A#1999 HIT set=0 tag=0']",LRU,0.009400008999818965,1000,2000,sequential
8,256,2048,0,1,0,0.9995,1999,1000,0.0005,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=0 tag=0', 'A#1991 HIT set=0 tag=0', 'A#1992 HIT set=0 tag=0', 'A#1993 HIT set=0 tag=0', 'A#1994 HIT set=0 tag=0', 'A#1995 HIT set=0 tag=0', 'A#1996 HIT set=0 tag=0', 'A#1997 HIT set=0 tag=0', 'A#1998 HIT set=0 tag=0', 'A#1999 HIT set=0 tag=0']",LRU,0.009026435000123456,1000,2000,sequential
1,16,2048,561,1293,17,0.0645,129,1292,0.9355,1871,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1293/17/561', 'Load/store split: 1292/708', 'Recent cache events:', 'A#1990 MISS first-touch set=68 tag=2', 'A#1991 MISS revisit set=45 tag=3', 'A#1992 MISS first-touch set=4 tag=10', 'A#1993 MISS first-touch set=100 tag=10', 'A#1994 MISS first-touch set=115 tag=3', 'A#1995 MISS first-touch set=19 tag=5', 'A#1996 MISS first-touch set=90 tag=1', 'A#1997 MISS first-touch set=107 tag=7', 'A#1998 MISS revisit set=5 tag=13', 'A#1999 MISS revisit set=111 tag=2']",LRU,0.0138256319996799,708,2000,random
2,16,2048,566,1293,18,0.0615,123,1292,0.9385,1877,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1293/18/566', 'Load/store split: 1292/708', 'Recent cache events:', 'A#1990 MISS first-touch set=4 tag=5', 'A#1991 HIT set=45 tag=6', 'A#1992 MISS first-touch set=4 tag=20', 'A#1993 MISS first-touch set=36 tag=21', 'A#1994 MISS first-touch set=51 tag=7', 'A#1995 MISS first-touch set=19 tag=10', 'A#1996 MISS first-touch set=26 tag=3', 'A#1997 MISS first-touch set=43 tag=15', 'A#1998 MISS revisit set=5 tag=26', 'A#1999 MISS revisit set=47 tag=5']",LRU,0.013014803000260144,708,2000,random
4,16,2048,566,1293,19,0.061,122,1292,0.939,1878,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1293/19/566', 'Load/store split: 1292/708', 'Recent cache events:', 'A#1990 MISS first-touch set=4 tag=10', 'A#1991 MISS revisit set=13 tag=13', 'A#1992 MISS first-touch set=4 tag=40', 'A#1993 MISS first-touch set=4 tag=43', 'A#1994 MISS first-touch set=19 tag=15', 'A#1995 MISS first-touch set=19 tag=20', 'A#1996 MISS first-touch set=26 tag=6', 'A#1997 MISS first-touch set=11 tag=31', 'A#1998 MISS revisit set=5 tag=52', 'A#1999 MISS revisit set=15 tag=11']",LRU,0.013858332999916456,708,2000,random
8,16,2048,569,1293,21,0.0585,117,1292,0.9415,1883,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1293/21/569', 'Load/store split: 1292/708', 'Recent cache events:', 'A#1990 MISS first-touch set=4 tag=20', 'A#1991 MISS revisit set=13 tag=26', 'A#1992 MISS first-touch set=4 tag=80', 'A#1993 MISS first-touch set=4 tag=86', 'A#1994 MISS first-touch set=3 tag=31', 'A#1995 MISS first-touch set=3 tag=41', 'A#1996 MISS first-touch set=10 tag=13', 'A#1997 MISS first-touch set=11 tag=62', 'A#1998 MISS revisit set=5 tag=104', 'A#1999 MISS revisit set=15 tag=22']",LRU,0.01206639100018947,708,2000,random
