associativity,block_size_kb,cache_size_kb,capacity_misses,compulsory_misses,conflict_misses,hit_rate,hits,load_accesses,miss_rate,misses,notes,replacement_policy,runtime_seconds,store_accesses,total_accesses,workload_name
4,64,2048,0,1,0,0.998,499,250,0.002,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=0 tag=0', 'A#491 HIT set=0 tag=0', 'A#492 HIT set=0 tag=0', 'A#493 HIT set=0 tag=0', 'A#494 HIT set=0 tag=0', 'A#495 HIT set=0 tag=0', 'A#496 HIT set=0 tag=0', 'A#497 HIT set=0 tag=0', 'A#498 HIT set=0 tag=0', 'A#499 HIT set=0 tag=0']",LRU,0.0010690620001696516,250,500,sequential
8,64,2048,0,1,0,0.998,499,250,0.002,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=0 tag=0', 'A#491 HIT set=0 tag=0', 'A#492 HIT set=0 tag=0', 'A#493 HIT set=0 tag=0', 'A#494 HIT set=0 tag=0', 'A#495 HIT set=0 tag=0', 'A#496 HIT set=0 tag=0', 'A#497 HIT set=0 tag=0', 'A#498 HIT set=0 tag=0', 'A#499 HIT set=0 tag=0']",LRU,0.001095333000193932,250,500,sequential
1,128,2048,0,1,0,0.998,499,250,0.002,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=0 tag=0', 'A#491 HIT set=0 tag=0', 'A#492 HIT set=0 tag=0', 'A#493 HIT set=0 tag=0', 'A#494 HIT set=0 tag=0', 'A#495 HIT set=0 tag=0', 'A#496 HIT set=0 tag=0', 'A#497 HIT set=0 tag=0', 'A#498 HIT set=0 tag=0', 'A#499 HIT set=0 tag=0']",LRU,0.0011944449997827178,250,500,sequential
2,128,2048,0,1,0,0.998,499,250,0.002,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=0 tag=0', 'A#491 HIT set=0 tag=0', 'A#492 HIT set=0 tag=0', 'A#493 HIT set=0 tag=0', 'A#494 HIT set=0 tag=0', 'A#495 HIT set=0 tag=0', 'A#496 HIT set=0 tag=0', 'A#497 HIT set=0 tag=0', 'A#498 HIT set=0 tag=0', 'A#499 HIT set=0 tag=0']",LRU,0.001126438000028429,250,500,sequential
4,128,2048,0,1,0,0.998,499,250,0.002,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=0 tag=0', 'A#491 HIT set=0 tag=0', 'A#492 HIT set=0 tag=0', 'A#493 HIT set=0 tag=0', 'A#494 HIT set=0 tag=0', 'A#495 HIT set=0 tag=0', 'A#496 HIT set=0 tag=0', 'A#497 HIT set=0 tag=0', 'A#498 HIT set=0 tag=0', 'A#499 HIT set=0 tag=0']",LRU,0.0011787419998654514,250,500,sequential
8,128,2048,0,1,0,0.998,499,250,0.002,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=0 tag=0', 'A#491 HIT set=0 tag=0', 'A#492 HIT set=0 tag=0', 'A#493 HIT set=0 tag=0', 'A#494 HIT set=0 tag=0', 'A#495 HIT set=0 tag=0', 'A#496 HIT set=0 tag=0', 'A#497 HIT set=0 tag=0', 'A#498 HIT set=0 tag=0', 'A#499 HIT set=0 tag=0']",LRU,0.0011894369999936316,250,500,sequential
1,256,2048,0,1,0,0.998,499,250,0.002,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=0 tag=0', 'A#491 HIT set=0 tag=0', 'A#492 HIT set=0 tag=0', 'A#493 HIT set=0 tag=0', 'A#494 HIT set=0 tag=0', 'A#495 HIT set=0 tag=0', 'A#496 HIT set=0 tag=0', 'A#497 HIT set=0 tag=0', 'A#498 HIT set=0 tag=0', 'A#499 HIT set=0 tag=0']",LRU,0.0011563070002011955,250,500,sequential
2,256,2048,0,1,0,0.998,499,250,0.002,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=0 tag=0', 'A#491 HIT set=0 tag=0', 'A#492 HIT set=0 tag=0', 'A#493 HIT set=0 tag=0', 'A#494 HIT set=0 tag=0', 'A#495 HIT set=0 tag=0', 'A#496 HIT set=0 tag=0', 'A#497 HIT set=0 tag=0', 'A#498 HIT set=0 tag=0', 'A#499 HIT set=0 tag=0']",LRU,0.0011647060000541387,250,500,sequential
4,256,2048,0,1,0,0.998,499,250,0.002,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=0 tag=0', 'A#491 HIT set=0 tag=0', 'A#492 HIT set=0 tag=0', 'A#493 HIT set=0 tag=0', 'A#494 HIT set=0 tag=0', 'A#495 HIT set=0 tag=0', 'A#496 HIT set=0 tag=0', 'A#497 HIT set=0 tag=0', 'A#498 HIT set=0 tag=0', 'A#499 HIT set=0 tag=0']",LRU,0.0012294940006540855,250,500,sequential
8,256,2048,0,1,0,0.998,499,250,0.002,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=0 tag=0', 'A#491 HIT set=0 tag=0', 'A#492 HIT set=0 tag=0', 'A#493 HIT set=0 tag=0', 'A#494 HIT set=0 tag=0', 'A#495 HIT set=0 tag=0', 'A#496 HIT set=0 tag=0', 'A#497 HIT set=0 tag=0', 'A#498 HIT set=0 tag=0', 'A#499 HIT set=0 tag=0']",LRU,0.0016654090004522004,250,500,sequential
1,16,2048,33,443,1,0.046,23,330,0.954,477,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 443/1/33', 'Load/store split: 330/170', 'Recent cache events:', 'A#490 MISS first-touch set=28 tag=1', 'A#491 MISS first-touch set=47 tag=10', 'A#492 MISS first-touch set=74 tag=14', 'A#493 MISS first-touch set=102 tag=9', 'A#494 MISS first-touch set=110 tag=9', 'A#495 MISS first-touch set=79 tag=13', 'A#496 MISS first-touch set=97 tag=11', 'A#497 MISS first-touch set=3 tag=14', 'A#498 MISS first-touch set=14 tag=0', 'A#499 MISS first-touch set=84 tag=15']",LRU,0.002745265000157815,170,500,random
2,16,2048,32,443,1,0.048,24,330,0.952,476,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 443/1/32', 'Load/store split: 330/170', 'Recent cache events:', 'A#490 MISS first-touch set=28 tag=2', 'A#491 MISS first-touch set=47 tag=20', 'A#492 MISS first-touch set=10 tag=29', 'A#493 MISS first-touch set=38 tag=19', 'A#494 MISS first-touch set=46 tag=19', 'A#495 MISS first-touch set=15 tag=27', 'A#496 MISS first-touch set=33 tag=23', 'A#497 MISS first-touch set=3 tag=28', 'A#498 MISS first-touch set=14 tag=0', 'A#499 MISS first-touch set=20 tag=31']",LRU,0.002305396000338078,170,500,random
